image,panel_id,class_id,pixel_x,pixel_y,bbox_width_norm,bbox_height_norm,x,y,z,depth_file
DJI_20220410132145_0003_T_JPG.rf.0ccf4b93f6d45b705a0dc283910cc81c.jpg,1,0,545,123,0.294937,0.177402,0.1103,-0.0652,0.3137,DJI_20220410132145_0003_T_JPG.rf.0ccf4b93f6d45b705a0dc283910cc81c.png
DJI_20220410132145_0003_T_JPG.rf.0ccf4b93f6d45b705a0dc283910cc81c.jpg,2,0,544,239,0.297781,0.182734,0.0906,-0.0069,0.2588,DJI_20220410132145_0003_T_JPG.rf.0ccf4b93f6d45b705a0dc283910cc81c.png
DJI_20220410132145_0003_T_JPG.rf.0ccf4b93f6d45b705a0dc283910cc81c.jpg,3,0,545,25,0.296359,0.099883,0.1103,-0.1132,0.3137,DJI_20220410132145_0003_T_JPG.rf.0ccf4b93f6d45b705a0dc283910cc81c.png
DJI_20220410132145_0003_T_JPG.rf.0ccf4b93f6d45b705a0dc283910cc81c.jpg,4,0,544,355,0.297781,0.183125,0.0439,0.0194,0.1255,DJI_20220410132145_0003_T_JPG.rf.0ccf4b93f6d45b705a0dc283910cc81c.png
DJI_20220410132145_0003_T_JPG.rf.0ccf4b93f6d45b705a0dc283910cc81c.jpg,5,0,544,467,0.299203,0.172187,0.1606,0.1513,0.4588,DJI_20220410132145_0003_T_JPG.rf.0ccf4b93f6d45b705a0dc283910cc81c.png
DJI_20220410132148_0004_T_JPG.rf.31565434f961c5abdcf78903b4d14c28.jpg,1,0,547,189,0.287562,0.151738,0.0362,-0.0107,0.102,DJI_20220410132148_0004_T_JPG.rf.31565434f961c5abdcf78903b4d14c28.png
DJI_20220410132148_0004_T_JPG.rf.31565434f961c5abdcf78903b4d14c28.jpg,2,0,547,306,0.287562,0.156621,0.0431,0.0095,0.1216,DJI_20220410132148_0004_T_JPG.rf.31565434f961c5abdcf78903b4d14c28.png
DJI_20220410132148_0004_T_JPG.rf.31565434f961c5abdcf78903b4d14c28.jpg,3,0,547,423,0.289031,0.156328,0.0612,0.045,0.1725,DJI_20220410132148_0004_T_JPG.rf.31565434f961c5abdcf78903b4d14c28.png
DJI_20220410132148_0004_T_JPG.rf.31565434f961c5abdcf78903b4d14c28.jpg,4,0,546,505,0.292375,0.025703,0.1232,0.1358,0.349,DJI_20220410132148_0004_T_JPG.rf.31565434f961c5abdcf78903b4d14c28.png
DJI_20220410132148_0004_T_JPG.rf.31565434f961c5abdcf78903b4d14c28.jpg,5,0,548,73,0.284625,0.145,0.0489,-0.0392,0.1373,DJI_20220410132148_0004_T_JPG.rf.31565434f961c5abdcf78903b4d14c28.png
